Resistance [\fW]	Temperature [K]
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
1.88523e-38	1.88523e-38
